epoch,global_step,train_loss,lr,eval_success_rate,eval_mean_reward,eval_mean_steps
1,31,1.1082648673365194,5.053424594761606e-06,,,
2,62,0.8909774807191664,8.167460738344427e-06,,,
3,93,0.6795205339308708,1.3205425003138998e-05,,,
4,124,0.4737648435177342,1.994618757814261e-05,,,
5,155,0.38667929268652396,2.809387825152373e-05,,,
6,186,0.35229705129900285,3.72908729505386e-05,,,
7,217,0.32175641290603146,4.7133490824610824e-05,,,
8,248,0.29719939251099864,5.71897128843492e-05,,,
9,279,0.2743429796349618,6.701814447774906e-05,,,
10,310,0.2666436597224205,7.618738928945958e-05,,,
11,341,0.25052579324091634,8.429498448614548e-05,,,
12,372,0.24734030952376704,9.098506589345013e-05,,,
13,403,0.23358598351478577,9.596398783239801e-05,,,
14,434,0.226892251160837,9.901321201857721e-05,,,
15,465,0.22431302214822463,9.999998591207368e-05,0.0,5.571432630717754,50.0
16,496,0.2106362158252347,9.998557465645466e-05,,,
17,527,0.21470138767073232,9.994409543866334e-05,,,
18,558,0.20419235046832793,9.98755707204279e-05,,,
19,589,0.1979019824535616,9.978003760909212e-05,,,
20,620,0.1875364794846504,9.965754783752109e-05,,,
21,651,0.19113243972101518,9.950816773608694e-05,,,
22,682,0.1856441714109913,9.933197819674987e-05,,,
23,713,0.17992182845069515,9.912907462925357e-05,,,
24,744,0.17955272380382784,9.88995669094593e-05,,,
25,775,0.17141343364792486,9.864357931984605e-05,,,
26,806,0.1707838547806586,9.836125048220955e-05,,,
27,837,0.16617600667861201,9.805273328259591e-05,,,
28,868,0.15935846778654283,9.771819478851135e-05,,,
29,899,0.16035761996623007,9.735781615845199e-05,,,
30,930,0.16211712504586867,9.697179254380348e-05,0.0,6.729914302937686,50.0
31,961,0.15309241366001866,9.656033298316305e-05,,,
32,992,0.15229193193297233,9.612366028914137e-05,,,
33,1023,0.1447668294272115,9.566201092770563e-05,,,
34,1054,0.14617798885991495,9.517563489012902e-05,,,
35,1085,0.1465402086896281,9.46647955576161e-05,,,
36,1116,0.14325962816515275,9.412976955867717e-05,,,
37,1147,0.13907936119264172,9.35708466193291e-05,,,
38,1178,0.14067341435340144,9.298832940620354e-05,,,
39,1209,0.13735656199916715,9.238253336264765e-05,,,
40,1240,0.1348455476184045,9.175378653790588e-05,,,
41,1271,0.13575485565008655,9.110242940947562e-05,,,
42,1302,0.1293551107087443,9.042881469873257e-05,,,
43,1333,0.13145457881112252,8.973330717992584e-05,,,
44,1364,0.1252987601103321,8.90162834826464e-05,,,
45,1395,0.12484582633741441,8.827813188787539e-05,0.0,9.867251587286592,50.0
46,1426,0.12471379219524321,8.751925211772318e-05,,,
47,1457,0.125572235834214,8.674005511897271e-05,,,
48,1488,0.11895645505958988,8.594096284054475e-05,,,
49,1519,0.12101057604435951,8.512240800500488e-05,,,
50,1550,0.11691263798744447,8.428483387423673e-05,,,
51,1581,0.12329714456873556,8.342869400940783e-05,,,
52,1612,0.12039430415438067,8.255445202535821e-05,,,
53,1643,0.11821738342123647,8.16625813395448e-05,,,
54,1674,0.1130283871485341,8.075356491567753e-05,,,
55,1705,0.1133091853510949,7.982789500218596e-05,,,
56,1736,0.11171738370772331,7.888607286565805e-05,,,
57,1767,0.1126202590042545,7.79286085193955e-05,,,
58,1798,0.11152615950953576,7.695602044723248e-05,,,
59,1829,0.10962885329800268,7.59688353227676e-05,,,
60,1860,0.10713561335878988,7.496758772416076e-05,0.0,7.619770032912493,50.0
61,1891,0.10605343070722395,7.395281984464967e-05,,,
62,1922,0.1056179154303766,7.292508119894272e-05,,,
63,1953,0.10763056383978936,7.188492832564695e-05,,,
64,1984,0.10343588456030815,7.083292448589267e-05,,,
65,2015,0.10559159276946899,6.976963935831761e-05,,,
66,2046,0.10122456954371545,6.869564873057579e-05,,,
67,2077,0.10475357405601009,6.761153418753854e-05,,,
68,2108,0.09824276138697902,6.651788279635585e-05,,,
69,2139,0.10090659438602385,6.54152867885492e-05,,,
70,2170,0.09790549259031972,6.430434323930785e-05,,,
71,2201,0.09874828231911506,6.318565374416191e-05,,,
72,2232,0.09883822981388338,6.205982409320791e-05,,,
73,2263,0.09950842323803133,6.0927463943062686e-05,,,
74,2294,0.10245494544506073,5.9789186486723585e-05,,,
75,2325,0.09570286879616399,5.864560812151369e-05,0.0,6.303825234249234,50.0
76,2356,0.09675718267117778,5.749734811529166e-05,,,
77,2387,0.09236684369464074,5.6345028271107443e-05,,,
78,2418,0.09400938992058078,5.518927259048482e-05,,,
79,2449,0.09495974187889407,5.403070693551364e-05,,,
80,2480,0.09078729597310867,5.2869958689934355e-05,,,
81,2511,0.09192429194527288,5.1707656419398876e-05,,,
82,2542,0.09108466126265065,5.054442953109091e-05,,,
83,2573,0.0921884948207486,4.9380907932891066e-05,,,
84,2604,0.09198384563769063,4.8217721692270536e-05,,,
85,2635,0.09221088141202927,4.705550069509847e-05,,,
86,2666,0.09097059191234651,4.589487430454769e-05,,,
87,2697,0.09071321521074541,4.473647102028336e-05,,,
88,2728,0.089405563569838,4.35809181381194e-05,,,
89,2759,0.08936943498349958,4.242884141032669e-05,,,
90,2790,0.09152494250766692,4.128086470677719e-05,0.0,6.246330377086997,50.0
91,2821,0.08783903862199476,4.0137609677107436e-05,,,
92,2852,0.08795029405624635,3.8999695414084245e-05,,,
93,2883,0.08820926229799947,3.7867738118355054e-05,,,
94,2914,0.088880431267523,3.674235076476449e-05,,,
95,2945,0.08729813223884951,3.5624142770417514e-05,,,
96,2976,0.08555650470718261,3.4513719664669505e-05,,,
97,3007,0.08745393421380751,3.341168276122126e-05,,,
98,3038,0.08724747814478413,3.231862883249711e-05,,,
99,3069,0.08568699129166142,3.123514978648214e-05,,,
100,3100,0.08610315717035724,3.016183234619346e-05,,,
101,3131,0.08301227876255589,2.909925773195949e-05,,,
102,3162,0.08247028603669136,2.8048001346678767e-05,,,
103,3193,0.0846140454373052,2.7008632464229243e-05,,,
104,3224,0.08074791368938261,2.5981713921196365e-05,,,
105,3255,0.08186200140945372,2.4967801812087086e-05,0.0,10.84214423969388,50.0
106,3286,0.085933608153174,2.396744518819502e-05,,,
107,3317,0.08224257394190758,2.2981185760279384e-05,,,
108,3348,0.08183418839208541,2.200955760521904e-05,,,
109,3379,0.08274378964016514,2.105308687680056e-05,,,
110,3410,0.08241522468386157,2.0112291520796516e-05,,,
111,3441,0.07898368229789118,1.9187680994488855e-05,,,
112,3472,0.08264877863468663,1.8279755990788676e-05,,,
113,3503,0.08175100530347516,1.738900816710227e-05,,,
114,3534,0.07940616819166368,1.6515919879089926e-05,,,
115,3565,0.07975184244494285,1.5660963919461793e-05,,,
116,3596,0.08573364706770066,1.4824603261952363e-05,,,
117,3627,0.0789679771950168,1.4007290810611994e-05,,,
118,3658,0.08068983545226435,1.3209469154551344e-05,,,
119,3689,0.07997212378728774,1.2431570328271618e-05,,,
120,3720,0.08270354484838824,1.1674015577710192e-05,0.0,6.500017287023366,50.0
121,3751,0.0806482229982653,1.0937215132128607e-05,,,
122,3782,0.07968960149634269,1.0221567981966067e-05,,,
123,3813,0.07823259455542411,9.527461662779191e-06,,,
124,3844,0.0827824963677314,8.855272045384616e-06,,,
125,3875,0.08086761351554625,8.205363132318276e-06,,,
126,3906,0.07794887416305081,7.5780868607217065e-06,,,
127,3937,0.08101431640886492,6.973782911761818e-06,,,
128,3968,0.08173134358179185,6.392778526687515e-06,,,
129,3999,0.0777191077509234,5.835388329622881e-06,,,
130,4030,0.08050450442298766,5.3019141571926005e-06,,,
131,4061,0.07729194577663176,4.79264489507207e-06,,,
132,4092,0.07909867960599161,4.307856321550801e-06,,,
133,4123,0.07822010882439152,3.8478109581935445e-06,,,
134,4154,0.07811379192336913,3.41275792768027e-06,,,
135,4185,0.07984017833105979,3.002932818901789e-06,0.0,8.847460070252419,50.0
136,4216,0.07652952666244199,2.6185575593842558e-06,,,
137,4247,0.08071754896833051,2.259840295111516e-06,,,
138,4278,0.07885502999828707,1.926975277810308e-06,,,
139,4309,0.0797662196620818,1.6201427597596077e-06,,,
140,4340,0.07881204255165593,1.3395088961808025e-06,,,
141,4371,0.0784252401321165,1.085225655261687e-06,,,
142,4402,0.07898221405283097,8.574307358630644e-07,,,
143,4433,0.07721111731183145,6.56247492952331e-07,,,
144,4464,0.07592254901124586,4.81784870804605e-07,,,
145,4495,0.07938448676178532,3.3413734400749847e-07,,,
